profile_type,income,expenses,savings,loan_emi,income_variability,savings_rate,expense_ratio,debt_to_income,runway_months,financial_goal,goal_amount,goal_months,risk_level,recommendation_category
Daily wage worker,9572.0,12545,99774,1845,34.31,0.0,131.1,19.3,11.5,Business Expansion,75000,18,High,Financial Risk
Commission-based worker,42283.0,22510,49316,11373,68.66,19.9,53.2,26.9,3.1,Retirement Reserve,30000,36,Medium,Highly Variable Income
Daily wage worker,19326.0,15740,7220,2210,48.28,7.1,81.4,11.4,0.7,Business Expansion,75000,36,High,Financial Risk
Freelancer,40957.0,24487,42919,4173,82.42,30.0,59.8,10.2,2.7,Retirement Reserve,50000,18,High,Highly Variable Income
Small business owner,52774.0,23676,191607,17454,34.49,22.1,44.9,33.1,10.4,Child Education,75000,18,Medium,Highly Variable Income
Seasonal business owner,61770.0,25871,56693,0,57.79,58.1,41.9,0.0,3.2,Emergency Fund,50000,12,Medium,Highly Variable Income
Consultant,92771.0,37849,34390,18049,39.45,39.7,40.8,19.5,1.2,Retirement Reserve,50000,12,Medium,Moderately Variable Income
Seasonal business owner,80059.0,23228,154910,0,39.64,71.0,29.0,0.0,9.6,Home Downpayment,250000,36,Medium,Highly Variable Income
Daily wage worker,15504.0,10429,81966,0,33.3,32.7,67.3,0.0,9.1,Emergency Fund,150000,12,Low,Moderately Variable Income
Consultant,78760.0,29908,27601,6966,26.01,53.2,38.0,8.8,1.3,Retirement Reserve,100000,6,Medium,Moderately Variable Income
Daily wage worker,9763.0,11589,41333,1501,35.24,0.0,118.7,15.4,5.2,Debt Repayment,150000,18,High,Financial Risk
Daily wage worker,16092.0,10810,20463,0,30.35,32.8,67.2,0.0,2.2,Home Downpayment,250000,18,Medium,Moderately Variable Income
Daily wage worker,22100.0,9788,27697,7394,59.26,22.3,44.3,33.5,3.3,Business Expansion,30000,18,Medium,Highly Variable Income
Freelancer,47820.0,25551,181089,7094,73.1,31.7,53.4,14.8,11.0,Business Expansion,75000,18,Medium,Highly Variable Income
Daily wage worker,14699.0,16983,65394,3926,53.07,0.0,115.5,26.7,5.7,Emergency Fund,500000,12,High,Financial Risk
Small business owner,42264.0,33899,75125,0,49.07,19.8,80.2,0.0,3.3,Emergency Fund,50000,6,Medium,Highly Variable Income
Commission-based worker,66250.0,13826,16501,12746,67.57,59.9,20.9,19.2,1.4,Emergency Fund,30000,12,High,Highly Variable Income
Shop owner,21706.0,29345,96220,7209,39.99,0.0,135.2,33.2,5.0,Retirement Reserve,75000,6,High,Financial Risk
Consultant,91294.0,36975,19161,0,20.08,59.5,40.5,0.0,0.7,Working Capital Buffer,500000,18,High,Financial Risk
Freelancer,28516.0,20409,33432,7081,33.31,3.6,71.6,24.8,2.2,Home Downpayment,30000,18,Medium,Moderately Variable Income
Seasonal business owner,28997.0,37596,219039,6026,79.78,0.0,129.7,20.8,8.9,Debt Repayment,150000,36,High,Financial Risk
Online seller,55153.0,29833,26725,19833,63.31,9.9,54.1,36.0,1.2,Emergency Fund,100000,24,High,Highly Variable Income
Freelancer,38305.0,26802,87300,9682,14.64,4.8,70.0,25.3,4.5,Child Education,500000,36,Low,Stable Income
Online seller,36364.0,29641,108088,12120,42.3,0.0,81.5,33.3,4.7,Child Education,250000,24,High,Financial Risk
Gig worker,30853.0,16078,13513,11052,22.25,12.1,52.1,35.8,1.0,Retirement Reserve,150000,12,Medium,Moderately Variable Income
Consultant,82053.0,40337,43033,18079,19.0,28.8,49.2,22.0,1.4,Retirement Reserve,150000,24,Medium,Stable Income
Freelancer,24300.0,20486,128163,2141,61.15,6.9,84.3,8.8,9.5,Emergency Fund,150000,36,Medium,Highly Variable Income
Self-employed person,19188.0,25088,29564,6343,30.28,0.0,130.7,33.1,1.5,Emergency Fund,50000,24,High,Financial Risk
Daily wage worker,20889.0,12669,117286,7598,36.01,3.0,60.6,36.4,11.3,Business Expansion,250000,18,Medium,Highly Variable Income
Online seller,72054.0,24662,79690,26121,41.86,29.5,34.2,36.3,4.2,Child Education,30000,6,Medium,Highly Variable Income
Freelancer,35916.0,26428,97103,8560,64.89,2.6,73.6,23.8,5.3,Working Capital Buffer,250000,36,Medium,Highly Variable Income
Consultant,103065.0,30495,178610,8674,7.34,62.0,29.6,8.4,7.2,Retirement Reserve,250000,24,Low,Stable Income
Self-employed person,36123.0,26252,106629,14190,32.72,0.0,72.7,39.3,5.9,Child Education,50000,36,High,Financial Risk
Online seller,38632.0,42534,213526,0,53.04,0.0,110.1,0.0,7.6,Child Education,500000,18,High,Financial Risk
Shop owner,16429.0,24304,57570,0,22.32,0.0,147.9,0.0,3.6,Emergency Fund,100000,12,High,Financial Risk
Commission-based worker,51611.0,23704,41169,4674,21.62,45.0,45.9,9.1,2.4,Working Capital Buffer,100000,24,Low,Stable Income
Commission-based worker,23164.0,17746,9105,0,75.9,23.4,76.6,0.0,0.8,Emergency Fund,30000,36,High,Financial Risk
Small business owner,31958.0,24282,13582,0,44.36,24.0,76.0,0.0,0.8,Retirement Reserve,75000,6,High,Financial Risk
Shop owner,50032.0,21007,37824,18535,19.95,21.0,42.0,37.0,2.4,Home Downpayment,500000,12,Low,Stable Income
Online seller,70847.0,42069,81066,0,30.68,40.6,59.4,0.0,2.9,Retirement Reserve,30000,18,Medium,Moderately Variable Income
Commission-based worker,63846.0,24799,183057,0,39.72,61.2,38.8,0.0,10.9,Working Capital Buffer,150000,6,Low,Moderately Variable Income
Self-employed person,22331.0,23723,49410,5277,44.13,0.0,106.2,23.6,2.4,Retirement Reserve,75000,6,High,Financial Risk
Self-employed person,40202.0,24103,12751,0,35.23,40.0,60.0,0.0,0.7,Debt Repayment,30000,18,High,Financial Risk
Gig worker,26875.0,16474,17232,9902,21.47,1.9,61.3,36.8,1.3,Home Downpayment,500000,12,Medium,Stable Income
Consultant,99301.0,34307,326787,20838,25.07,44.5,34.5,21.0,13.3,Emergency Fund,75000,24,Low,Moderately Variable Income
Small business owner,60490.0,25366,79360,5680,30.17,48.7,41.9,9.4,4.6,Emergency Fund,75000,6,Low,Moderately Variable Income
Online seller,64073.0,23649,47321,0,38.51,63.1,36.9,0.0,2.6,Emergency Fund,250000,36,High,Highly Variable Income
Seasonal business owner,47569.0,25554,101475,13837,67.5,17.2,53.7,29.1,5.2,Working Capital Buffer,150000,18,Medium,Highly Variable Income
Commission-based worker,60267.0,17856,60511,0,50.93,70.4,29.6,0.0,4.0,Debt Repayment,75000,6,Medium,Highly Variable Income
Commission-based worker,48374.0,17937,39219,0,65.28,62.9,37.1,0.0,2.9,Retirement Reserve,50000,12,High,Highly Variable Income
Commission-based worker,26609.0,16458,33821,7132,31.45,11.3,61.9,26.8,2.5,Business Expansion,150000,24,Medium,Moderately Variable Income
Shop owner,28898.0,18557,39903,8359,57.11,6.9,64.2,28.9,2.6,Child Education,50000,18,High,Highly Variable Income
Daily wage worker,18630.0,11912,25927,0,36.91,36.1,63.9,0.0,2.6,Business Expansion,30000,36,Medium,Moderately Variable Income
Self-employed person,49179.0,20109,21426,11150,27.41,36.4,40.9,22.7,1.4,Emergency Fund,250000,18,Medium,Moderately Variable Income
Commission-based worker,25140.0,18634,130686,0,65.18,25.9,74.1,0.0,10.6,Retirement Reserve,150000,18,Medium,Highly Variable Income
Daily wage worker,16019.0,11823,81606,5118,39.0,0.0,73.8,32.0,8.8,Retirement Reserve,30000,24,High,Financial Risk
Small business owner,72940.0,22066,84500,0,23.49,69.7,30.3,0.0,4.6,Business Expansion,250000,36,Low,Moderately Variable Income
Gig worker,14478.0,17658,61561,1809,41.29,0.0,122.0,12.5,4.2,Child Education,250000,12,High,Financial Risk
Small business owner,29065.0,22398,41471,5917,24.23,2.6,77.1,20.4,2.3,Business Expansion,150000,36,Medium,Moderately Variable Income
Shop owner,51656.0,16945,34941,0,26.4,67.2,32.8,0.0,2.8,Emergency Fund,100000,12,Medium,Moderately Variable Income
Freelancer,32085.0,23960,25284,0,49.38,25.3,74.7,0.0,1.6,Working Capital Buffer,500000,24,High,Highly Variable Income
Freelancer,54841.0,21460,39038,0,28.09,60.9,39.1,0.0,2.3,Debt Repayment,500000,6,Medium,Moderately Variable Income
Daily wage worker,17354.0,11494,37345,3470,51.87,13.8,66.2,20.0,3.9,Business Expansion,250000,18,Medium,Highly Variable Income
Consultant,75648.0,42657,355217,26028,16.24,9.2,56.4,34.4,11.9,Debt Repayment,50000,36,Low,Stable Income
Consultant,124781.0,34934,72779,22648,28.59,53.9,28.0,18.2,2.5,Home Downpayment,75000,6,Medium,Moderately Variable Income
Shop owner,45786.0,23392,24819,13889,36.87,18.6,51.1,30.3,1.6,Home Downpayment,250000,6,High,Highly Variable Income
Online seller,54044.0,34764,15844,6255,46.11,24.1,64.3,11.6,0.7,Emergency Fund,150000,24,High,Financial Risk
Self-employed person,40624.0,24725,10580,8808,33.04,17.5,60.9,21.7,0.6,Debt Repayment,50000,6,High,Financial Risk
Commission-based worker,21471.0,18563,33201,5642,53.47,0.0,86.5,26.3,2.3,Business Expansion,30000,36,High,Financial Risk
Small business owner,33835.0,30348,33899,9076,44.57,0.0,89.7,26.8,1.6,Working Capital Buffer,500000,18,High,Financial Risk
Commission-based worker,20971.0,17861,168443,1908,38.07,5.7,85.2,9.1,12.0,Emergency Fund,30000,24,Medium,Highly Variable Income
Consultant,87902.0,36241,242974,11069,24.2,46.2,41.2,12.6,8.7,Working Capital Buffer,30000,12,Low,Moderately Variable Income
Small business owner,35214.0,25033,246498,6921,52.04,9.3,71.1,19.7,12.1,Child Education,500000,36,Medium,Highly Variable Income
Commission-based worker,49578.0,16607,143968,0,35.45,66.5,33.5,0.0,10.2,Emergency Fund,500000,36,Low,Moderately Variable Income
Small business owner,21208.0,27487,12339,0,36.59,0.0,129.6,0.0,0.5,Emergency Fund,100000,36,High,Financial Risk
Commission-based worker,31601.0,19210,170770,0,34.1,39.2,60.8,0.0,11.3,Working Capital Buffer,500000,36,Low,Moderately Variable Income
Shop owner,22076.0,17030,33563,8523,32.11,0.0,77.1,38.6,2.4,Emergency Fund,100000,6,High,Financial Risk
Consultant,56768.0,39437,112545,21503,13.17,0.0,69.5,37.9,4.0,Home Downpayment,150000,36,High,Financial Risk
Freelancer,49386.0,21353,21019,0,29.79,56.8,43.2,0.0,1.2,Business Expansion,30000,12,Medium,Moderately Variable Income
Freelancer,40507.0,28441,25511,7190,29.02,12.0,70.2,17.8,1.3,Child Education,75000,6,Medium,Moderately Variable Income
Online seller,26758.0,23622,245880,0,26.35,11.7,88.3,0.0,13.1,Emergency Fund,30000,24,Low,Moderately Variable Income
Shop owner,23214.0,18333,7840,0,26.52,21.0,79.0,0.0,0.6,Business Expansion,250000,18,High,Financial Risk
Gig worker,47964.0,16128,154000,11633,42.08,42.1,33.6,24.3,12.2,Working Capital Buffer,100000,6,Low,Moderately Variable Income
Gig worker,19821.0,22214,22353,7223,46.19,0.0,112.1,36.4,1.5,Child Education,150000,18,High,Financial Risk
Consultant,69564.0,45614,134149,12466,30.44,16.5,65.6,17.9,4.6,Business Expansion,150000,36,Low,Moderately Variable Income
Consultant,87279.0,37227,37380,26338,23.99,27.2,42.7,30.2,1.2,Child Education,75000,24,Medium,Moderately Variable Income
Seasonal business owner,21988.0,27273,182554,4374,45.6,0.0,124.0,19.9,9.2,Business Expansion,30000,18,High,Financial Risk
Seasonal business owner,29617.0,31550,208809,0,64.85,0.0,106.5,0.0,9.2,Home Downpayment,50000,18,High,Financial Risk
Shop owner,28963.0,22695,231930,8564,61.2,0.0,78.4,29.6,14.5,Child Education,75000,6,High,Financial Risk
Self-employed person,44588.0,24563,83712,0,19.84,44.9,55.1,0.0,4.7,Working Capital Buffer,100000,18,Low,Stable Income
Commission-based worker,62780.0,16381,92052,0,25.16,73.9,26.1,0.0,7.8,Working Capital Buffer,30000,18,Low,Moderately Variable Income
Shop owner,36917.0,26399,13080,8586,45.32,5.2,71.5,23.3,0.7,Working Capital Buffer,500000,6,High,Financial Risk
Shop owner,32152.0,24181,93040,11788,24.81,0.0,75.2,36.7,5.9,Child Education,50000,18,High,Financial Risk
Shop owner,23048.0,14392,55278,7111,17.41,6.7,62.4,30.9,4.6,Emergency Fund,75000,6,Low,Stable Income
Seasonal business owner,47857.0,31617,32130,8574,63.76,16.0,66.1,17.9,1.6,Home Downpayment,250000,24,High,Highly Variable Income
Gig worker,15012.0,14545,55646,3659,42.97,0.0,96.9,24.4,4.8,Working Capital Buffer,30000,18,High,Financial Risk
Online seller,57289.0,24676,147535,11612,49.39,36.7,43.1,20.3,7.1,Child Education,500000,24,Medium,Highly Variable Income
Shop owner,29288.0,17744,126472,7359,39.25,14.3,60.6,25.1,8.5,Working Capital Buffer,500000,6,Medium,Highly Variable Income
Small business owner,34812.0,27557,93924,11058,37.75,0.0,79.2,31.8,5.1,Working Capital Buffer,100000,18,High,Financial Risk
Freelancer,41902.0,26081,23853,0,47.22,37.8,62.2,0.0,1.4,Working Capital Buffer,30000,12,High,Highly Variable Income
Freelancer,28501.0,19111,22746,0,50.57,32.9,67.1,0.0,1.8,Working Capital Buffer,30000,18,High,Highly Variable Income
Commission-based worker,28877.0,21083,147498,10011,34.84,0.0,73.0,34.7,10.3,Retirement Reserve,500000,24,High,Financial Risk
Gig worker,20347.0,19357,164586,2280,27.06,0.0,95.1,11.2,11.0,Emergency Fund,75000,12,High,Financial Risk
Consultant,75029.0,39045,193807,0,28.7,48.0,52.0,0.0,6.5,Child Education,75000,36,Low,Moderately Variable Income
Daily wage worker,19951.0,11411,100379,7554,38.86,4.9,57.2,37.9,12.0,Debt Repayment,100000,18,Low,Moderately Variable Income
Shop owner,51296.0,22520,23490,0,6.62,56.1,43.9,0.0,1.4,Retirement Reserve,250000,24,Medium,Stable Income
Daily wage worker,14153.0,11660,40750,0,57.74,17.6,82.4,0.0,5.0,Emergency Fund,75000,24,Medium,Highly Variable Income
Self-employed person,23949.0,16279,58603,2463,22.56,21.7,68.0,10.3,4.3,Debt Repayment,250000,6,Low,Moderately Variable Income
Commission-based worker,44343.0,17765,20962,5801,39.45,46.9,40.1,13.1,1.8,Business Expansion,30000,24,High,Highly Variable Income
Commission-based worker,24202.0,22393,8989,0,52.67,7.5,92.5,0.0,0.5,Working Capital Buffer,50000,24,High,Financial Risk
Freelancer,40441.0,24549,144936,4587,92.9,28.0,60.7,11.3,7.3,Home Downpayment,100000,24,Medium,Highly Variable Income
Gig worker,39488.0,18692,57659,6616,21.54,35.9,47.3,16.8,4.6,Emergency Fund,500000,36,Low,Stable Income
Daily wage worker,14093.0,9716,67677,0,62.14,31.1,68.9,0.0,8.7,Retirement Reserve,250000,36,Medium,Highly Variable Income
Self-employed person,60322.0,24069,12986,0,31.84,60.1,39.9,0.0,0.6,Emergency Fund,100000,6,High,Financial Risk
Seasonal business owner,92313.0,37680,82635,17673,53.29,40.0,40.8,19.1,3.2,Debt Repayment,30000,24,Medium,Highly Variable Income
Self-employed person,36496.0,21233,118254,10026,43.14,14.4,58.2,27.5,6.6,Retirement Reserve,75000,12,Low,Moderately Variable Income
Consultant,39439.0,32725,17927,9675,54.88,0.0,83.0,24.5,0.7,Child Education,500000,6,High,Financial Risk
Freelancer,54066.0,23256,46950,12911,43.43,33.1,43.0,23.9,2.5,Emergency Fund,150000,6,High,Highly Variable Income
Daily wage worker,12200.0,15985,8725,3967,17.68,0.0,131.0,32.5,0.7,Retirement Reserve,75000,12,High,Financial Risk
Commission-based worker,28489.0,21448,12675,11296,48.36,0.0,75.3,39.7,0.9,Working Capital Buffer,500000,36,High,Financial Risk
Gig worker,15196.0,20627,60478,5114,7.42,0.0,135.7,33.7,4.1,Emergency Fund,30000,18,High,Financial Risk
Commission-based worker,34268.0,18098,17428,10373,48.42,16.9,52.8,30.3,1.2,Working Capital Buffer,50000,24,High,Highly Variable Income
Seasonal business owner,81357.0,20043,209184,23520,44.21,46.5,24.6,28.9,13.0,Child Education,30000,36,Medium,Highly Variable Income
Small business owner,29357.0,24489,11007,0,17.95,16.6,83.4,0.0,0.5,Emergency Fund,250000,6,High,Financial Risk
Consultant,67539.0,32344,56444,14006,21.76,31.4,47.9,20.7,2.1,Emergency Fund,75000,24,Low,Stable Income
Seasonal business owner,91062.0,34872,41064,0,46.07,61.7,38.3,0.0,1.8,Emergency Fund,50000,24,High,Highly Variable Income
Shop owner,30325.0,20298,36162,10941,37.0,0.0,66.9,36.1,2.6,Debt Repayment,50000,36,High,Financial Risk
Seasonal business owner,78799.0,24111,19401,19199,53.39,45.0,30.6,24.4,1.1,Retirement Reserve,30000,36,High,Highly Variable Income
Shop owner,23290.0,17768,10412,0,18.21,23.7,76.3,0.0,0.8,Home Downpayment,50000,24,High,Financial Risk
Self-employed person,49647.0,22458,12836,0,38.76,54.8,45.2,0.0,0.8,Retirement Reserve,30000,12,High,Financial Risk
Gig worker,15081.0,19840,10303,0,28.34,0.0,131.6,0.0,0.7,Retirement Reserve,150000,24,High,Financial Risk
Self-employed person,32330.0,27056,13230,0,35.58,16.3,83.7,0.0,0.7,Emergency Fund,250000,12,High,Financial Risk
Seasonal business owner,77302.0,19137,103328,0,103.94,75.2,24.8,0.0,6.4,Debt Repayment,50000,18,Medium,Highly Variable Income
Consultant,85582.0,37799,43382,19710,22.66,32.8,44.2,23.0,1.4,Debt Repayment,150000,12,Medium,Moderately Variable Income
Online seller,83092.0,25063,182988,8120,35.25,60.1,30.2,9.8,9.4,Retirement Reserve,30000,24,Medium,Highly Variable Income
Freelancer,51491.0,22805,22456,0,43.19,55.7,44.3,0.0,1.4,Retirement Reserve,30000,36,High,Highly Variable Income
Online seller,50981.0,42138,83352,10761,44.27,0.0,82.7,21.1,3.0,Retirement Reserve,50000,18,High,Financial Risk
Online seller,37816.0,26637,13004,4048,64.77,18.9,70.4,10.7,0.7,Working Capital Buffer,500000,24,High,Financial Risk
Seasonal business owner,50783.0,32233,208805,16840,72.03,3.4,63.5,33.2,9.5,Child Education,500000,36,Medium,Highly Variable Income
Daily wage worker,22233.0,9700,39910,0,24.89,56.4,43.6,0.0,5.4,Emergency Fund,100000,24,Low,Moderately Variable Income
Commission-based worker,51861.0,20922,121589,19374,51.7,22.3,40.3,37.4,9.0,Working Capital Buffer,30000,18,Medium,Highly Variable Income
Self-employed person,26398.0,28055,253311,0,15.39,0.0,106.3,0.0,13.5,Child Education,75000,6,High,Financial Risk
Seasonal business owner,39472.0,26159,22213,9790,52.2,8.9,66.3,24.8,1.2,Business Expansion,75000,6,High,Highly Variable Income
Self-employed person,31330.0,30275,53494,12096,39.94,0.0,96.6,38.6,2.6,Retirement Reserve,500000,18,High,Financial Risk
Seasonal business owner,31385.0,29702,278794,0,61.58,5.4,94.6,0.0,13.5,Business Expansion,100000,12,Medium,Highly Variable Income
Freelancer,32509.0,26414,28479,4965,28.89,3.5,81.3,15.3,1.4,Child Education,100000,18,Medium,Moderately Variable Income
Daily wage worker,11039.0,11444,19966,3377,32.8,0.0,103.7,30.6,2.4,Working Capital Buffer,150000,18,High,Financial Risk
Self-employed person,22644.0,20140,12066,3037,14.42,0.0,88.9,13.4,0.8,Debt Repayment,75000,18,High,Financial Risk
Commission-based worker,28085.0,25038,44074,2405,44.38,2.3,89.2,8.6,2.5,Home Downpayment,500000,6,High,Highly Variable Income
Daily wage worker,16315.0,10875,5568,6083,64.47,0.0,66.7,37.3,0.7,Retirement Reserve,50000,18,High,Financial Risk
Daily wage worker,18672.0,15108,12281,2901,37.96,3.5,80.9,15.5,1.2,Child Education,150000,12,Medium,Moderately Variable Income
Online seller,54693.0,31327,206828,8487,24.3,27.2,57.3,15.5,7.9,Retirement Reserve,75000,36,Low,Moderately Variable Income
Freelancer,60208.0,24331,137809,0,26.42,59.6,40.4,0.0,7.4,Emergency Fund,150000,18,Low,Moderately Variable Income
Commission-based worker,28770.0,14084,33122,0,21.16,51.0,49.0,0.0,2.7,Home Downpayment,250000,12,Low,Stable Income
Gig worker,24216.0,17664,69697,3841,49.59,11.2,72.9,15.9,5.6,Home Downpayment,100000,24,Medium,Highly Variable Income
Shop owner,45529.0,21617,10053,7278,12.5,36.5,47.5,16.0,0.6,Child Education,500000,18,High,Financial Risk
Shop owner,28517.0,16206,15500,10870,23.26,5.1,56.8,38.1,1.2,Business Expansion,100000,6,Medium,Moderately Variable Income
Seasonal business owner,77650.0,30223,154801,29327,54.35,23.3,38.9,37.8,6.7,Business Expansion,50000,36,Medium,Highly Variable Income
Commission-based worker,38222.0,27488,51924,0,60.07,28.1,71.9,0.0,2.9,Home Downpayment,250000,24,High,Highly Variable Income
Self-employed person,35370.0,23117,20648,6160,22.75,17.2,65.4,17.4,1.1,Emergency Fund,75000,24,Medium,Moderately Variable Income
Gig worker,26287.0,22425,11850,3982,29.46,0.0,85.3,15.1,0.8,Working Capital Buffer,150000,18,High,Financial Risk
Self-employed person,21772.0,22364,11922,2695,24.47,0.0,102.7,12.4,0.7,Working Capital Buffer,250000,24,High,Financial Risk
Shop owner,34935.0,26903,246097,5914,25.31,6.1,77.0,16.9,13.1,Emergency Fund,100000,12,Low,Moderately Variable Income
